ENSG00000010379	ENSMUSG00000030108	ENSRNOG00000012876	ENSOCUG00000000003	ENSCPOG00000013744	ENSSTOG00000000918	ENSMLUG00000000435	ENSPVAG00000004771	ENSECAG00000013410	ENSCAFG00000015769	ENSMICG00000007883	ENSOGAG00000000310	ENSGGOG00000004892
ENSG00000073614	ENSMUSG00000030180	ENSRNOG00000010591	ENSOCUG00000012946	ENSCPOG00000013751	ENSSTOG00000000926	ENSMLUG00000006151	ENSPVAG00000004774	ENSECAG00000021281	ENSCAFG00000015781	ENSMICG00000007891	ENSOGAG00000000312	ENSGGOG00000004563
ENSG00000120647	ENSMUSG00000030177	ENSRNOG00000037206	ENSOCUG00000004505	ENSCPOG00000002531	ENSSTOG00000004990	ENSMLUG00000003788	ENSPVAG00000004782	ENSECAG00000018636	ENSCAFG00000015784	ENSMICG00000007908	ENSOGAG00000001747	ENSGGOG00000008474
ENSG00000168904	ENSMUSG00000030556	ENSRNOG00000023274	ENSOCUG00000006434	ENSCPOG00000007104	ENSSTOG00000004380	ENSMLUG00000001826	ENSPVAG00000002291	ENSECAG00000010529	ENSCAFG00000010811	ENSMICG00000007320	ENSOGAG00000013426	ENSGGOG00000023721
ENSG00000139044	ENSMUSG00000041372	ENSRNOG00000010344	ENSOCUG00000008418	ENSCPOG00000010952	ENSSTOG00000005026	ENSMLUG00000009055	ENSPVAG00000011215	ENSECAG00000014031	ENSCAFG00000015788	ENSMICG00000007939	ENSOGAG00000001336	ENSGGOG00000002719
ENSG00000060237	ENSMUSG00000045962	ENSRNOG00000009956	ENSOCUG00000013557	ENSCPOG00000000718	ENSSTOG00000028041	ENSMLUG00000016325	ENSPVAG00000007103	ENSECAG00000023501	ENSCAFG00000015804	ENSMICG00000016162	ENSOGAG00000014795	ENSGGOG00000006458
ENSG00000139842	ENSMUSG00000031446	ENSRNOG00000019649	ENSOCUG00000009610	ENSCPOG00000007488	ENSSTOG00000003940	ENSMLUG00000002556	ENSPVAG00000009202	ENSECAG00000018984	ENSCAFG00000006290	ENSMICG00000012670	ENSOGAG00000017186	ENSGGOG00000000415
ENSG00000140470	ENSMUSG00000058145	ENSRNOG00000037080	ENSOCUG00000015227	ENSCPOG00000009337	ENSSTOG00000004497	ENSMLUG00000002925	ENSPVAG00000004472	ENSECAG00000000579	ENSCAFG00000010709	ENSMICG00000014739	ENSOGAG00000008047	ENSGGOG00000007711
ENSG00000150401	ENSMUSG00000038506	ENSRNOG00000019473	ENSOCUG00000001448	ENSCPOG00000014364	ENSSTOG00000007978	ENSMLUG00000008249	ENSPVAG00000013410	ENSECAG00000005413	ENSCAFG00000006359	ENSMICG00000016242	ENSOGAG00000007173	ENSGGOG00000027172
ENSG00000154227	ENSMUSG00000030510	ENSRNOG00000013823	ENSOCUG00000003828	ENSCPOG00000002247	ENSSTOG00000004541	ENSMLUG00000002945	ENSPVAG00000004485	ENSECAG00000013052	ENSCAFG00000010691	ENSMICG00000014767	ENSOGAG00000008051	ENSGGOG00000007168
ENSG00000150403	ENSMUSG00000038497	ENSRNOG00000019346	ENSOCUG00000025173	ENSCPOG00000006999	ENSSTOG00000023226	ENSMLUG00000012149	ENSPVAG00000013412	ENSECAG00000009685	ENSCAFG00000006372	ENSMICG00000013740	ENSOGAG00000007177	ENSGGOG00000010596
ENSG00000183475	ENSMUSG00000030509	ENSRNOG00000013795	ENSOCUG00000014169	ENSCPOG00000004950	ENSSTOG00000024134	ENSMLUG00000011079	ENSPVAG00000012990	ENSECAG00000003905	ENSCAFG00000010679	ENSMICG00000014793	ENSOGAG00000000971	ENSGGOG00000028021
ENSG00000185974	ENSMUSG00000031450	ENSRNOG00000018430	ENSOCUG00000014700	ENSCPOG00000013493	ENSSTOG00000027210	ENSMLUG00000028939	ENSPVAG00000013415	ENSECAG00000000815	ENSCAFG00000006393	ENSMICG00000010545	ENSOGAG00000003539	ENSGGOG00000017187
ENSG00000133265	ENSMUSG00000063802	ENSRNOG00000017795	ENSOCUG00000025216	ENSCPOG00000027227	ENSSTOG00000021602	ENSMLUG00000005036	ENSPVAG00000007302	ENSECAG00000022578	ENSCAFG00000002605	ENSMICG00000016682	ENSOGAG00000003907	ENSGGOG00000000484
ENSG00000160469	ENSMUSG00000035390	ENSRNOG00000017673	ENSOCUG00000012750	ENSCPOG00000009088	ENSSTOG00000005773	ENSMLUG00000003247	ENSPVAG00000007303	ENSECAG00000001444	ENSCAFG00000002601	ENSMICG00000016602	ENSOGAG00000003908	ENSGGOG00000000488
ENSG00000185989	ENSMUSG00000031453	ENSRNOG00000017671	ENSOCUG00000021637	ENSCPOG00000007813	ENSSTOG00000023038	ENSMLUG00000008114	ENSPVAG00000005653	ENSECAG00000014387	ENSCAFG00000006458	ENSMICG00000006158	ENSOGAG00000010903	ENSGGOG00000008967
ENSG00000130177	ENSMUSG00000038416	ENSRNOG00000017536	ENSOCUG00000008437	ENSCPOG00000005324	ENSSTOG00000013794	ENSMLUG00000015888	ENSPVAG00000005655	ENSECAG00000020620	ENSCAFG00000006493	ENSMICG00000012596	ENSOGAG00000010733	ENSGGOG00000015411
ENSG00000131873	ENSMUSG00000032640	ENSRNOG00000012698	ENSOCUG00000012017	ENSCPOG00000008354	ENSSTOG00000009033	ENSMLUG00000007026	ENSPVAG00000009424	ENSECAG00000010914	ENSCAFG00000010579	ENSMICG00000012976	ENSOGAG00000003832	ENSGGOG00000008955
ENSG00000169062	ENSMUSG00000038398	ENSRNOG00000017397	ENSOCUG00000008450	ENSCPOG00000006824	ENSSTOG00000019967	ENSMLUG00000015905	ENSPVAG00000005656	ENSECAG00000017141	ENSCAFG00000006504	ENSMICG00000012616	ENSOGAG00000004788	ENSGGOG00000015428
ENSG00000140479	ENSMUSG00000030513	ENSRNOG00000011526	ENSOCUG00000017423	ENSCPOG00000005722	ENSSTOG00000009068	ENSMLUG00000029026	ENSPVAG00000004143	ENSECAG00000001688	ENSCAFG00000010529	ENSMICG00000013008	ENSOGAG00000003833	ENSGGOG00000008971
ENSG00000184277	ENSMUSG00000078681	ENSRNOG00000011290	ENSOCUG00000010730	ENSCPOG00000008845	ENSSTOG00000009090	ENSMLUG00000012867	ENSPVAG00000006750	ENSECAG00000022561	ENSCAFG00000010503	ENSMICG00000013029	ENSOGAG00000010190	ENSGGOG00000011598
ENSG00000198300	ENSMUSG00000002265	ENSRNOG00000014791	ENSOCUG00000012339	ENSCPOG00000015028	ENSSTOG00000028583	ENSMLUG00000007929	ENSPVAG00000011956	ENSECAG00000016802	ENSCAFG00000029153	ENSMICG00000008477	ENSOGAG00000010865	ENSGGOG00000005093
ENSG00000105146	ENSMUSG00000070837	ENSRNOG00000015825	ENSOCUG00000011337	ENSCPOG00000012661	ENSSTOG00000004835	ENSMLUG00000007587	ENSPVAG00000015550	ENSECAG00000021736	ENSCAFG00000023297	ENSMICG00000012886	ENSOGAG00000000999	ENSGGOG00000007994
ENSG00000083845	ENSMUSG00000012848	ENSRNOG00000019453	ENSOCUG00000024505	ENSCPOG00000023995	ENSSTOG00000005935	ENSMLUG00000012641	ENSPVAG00000013966	ENSECAG00000016340	ENSCAFG00000002366	ENSMICG00000016512	ENSOGAG00000013088	ENSGGOG00000004258
ENSG00000099326	ENSMUSG00000030380	ENSRNOG00000027550	ENSOCUG00000021348	ENSCPOG00000009921	ENSSTOG00000020983	ENSMLUG00000027909	ENSPVAG00000013983	ENSECAG00000016471	ENSCAFG00000031861	ENSMICG00000003052	ENSOGAG00000033237	ENSGGOG00000012904
ENSG00000113643	ENSMUSG00000018848	ENSRNOG00000007739	ENSOCUG00000015698	ENSCPOG00000007379	ENSSTOG00000001441	ENSMLUG00000011839	ENSPVAG00000005760	ENSECAG00000024383	ENSCAFG00000017058	ENSMICG00000004771	ENSOGAG00000006369	ENSGGOG00000009650
ENSG00000081320	ENSMUSG00000026094	ENSRNOG00000012502	ENSOCUG00000011691	ENSCPOG00000008903	ENSSTOG00000020599	ENSMLUG00000007648	ENSPVAG00000012638	ENSECAG00000000520	ENSCAFG00000010652	ENSMICG00000013716	ENSOGAG00000003099	ENSGGOG00000016830
ENSG00000138411	ENSMUSG00000042807	ENSRNOG00000013257	ENSOCUG00000011694	ENSCPOG00000008908	ENSSTOG00000015188	ENSMLUG00000007654	ENSPVAG00000012639	ENSECAG00000000544	ENSCAFG00000010673	ENSMICG00000013727	ENSOGAG00000003101	ENSGGOG00000013295
ENSG00000184347	ENSMUSG00000056427	ENSRNOG00000007377	ENSOCUG00000017302	ENSCPOG00000011591	ENSSTOG00000013889	ENSMLUG00000013034	ENSPVAG00000009809	ENSECAG00000000495	ENSCAFG00000017027	ENSMICG00000009033	ENSOGAG00000006377	ENSGGOG00000010444
ENSG00000113971	ENSMUSG00000032558	ENSRNOG00000010940	ENSOCUG00000014309	ENSCPOG00000015737	ENSSTOG00000012174	ENSMLUG00000000832	ENSPVAG00000012596	ENSECAG00000007467	ENSCAFG00000006362	ENSMICG00000004463	ENSOGAG00000007842	ENSGGOG00000010644
ENSG00000119041	ENSMUSG00000041303	ENSRNOG00000002091	ENSOCUG00000000463	ENSCPOG00000006643	ENSSTOG00000011894	ENSMLUG00000024692	ENSPVAG00000004898	ENSECAG00000014763	ENSCAFG00000010723	ENSMICG00000013800	ENSOGAG00000000577	ENSGGOG00000011787
